City,AKP,MHP,CHP,IYIP,YSP
Adana,30.84,11.03,28.63,10.74,9.73
Adiyaman,52.33,4.35,18.75,0,12.01
Afyon,44.17,16.06,18.79,12.35,0.64
Agri,25.37,2.58,11.16,1.71,54.46
Aksaray,44.13,21.01,0,24.69,0.91
Amasya,39.58,16.76,29.6,7.12,0.66
Ankara,32.53,10.25,30.56,12.8,3.15
Antalya,29.06,10.03,32.31,11.31,4.9
Ardahan,34.98,3.25,29.75,4.87,21.42
Artvin,37.17,9.66,29.88,13.04,1.16
Aydin,28.71,8.65,35.59,12.95,7.32
Balikesir,34.67,8.2,31.47,14.6,2.27
Bartin,36.96,23.49,31.45,0,0.64
Batman,29.22,1.47,8.46,0,57.79
Bayburt,59.95,16.61,0,15.97,0.75
Bilecik,37.22,10.29,26.71,12.16,2.9
Bingöl,39.21,13.6,5.82,2.02,23.95
Bitlis,37.71,3.87,0,13.01,40.17
Bolu,37.01,23.26,21.88,7.43,1.12
Burdur,36.61,14.03,31.07,11.38,0.93
Bursa,39.01,8.62,24.38,11.9,4.46
Çanakkale,32.07,6.62,35.25,16.3,2.19
cankiri,42.73,31.15,0,17.71,0.62
corum,40.31,20.16,30.78,0,0.72
Denizli,33.99,8.46,31.9,14.06,2.62
Diyarbakir,23.22,1.48,8.24,2.28,60.93
Duzce,49.58,16.13,22.64,0,1.26
Edirne,23.83,7.73,39.38,20.46,2.05
Elazig,40.43,11.48,20.73,2.41,7.14
Erzincan,38.67,19.64,35.93,0,1.33
Erzurum,43.32,16.67,7.04,9.5,9.9
Eskisehir,33.15,7.31,34.06,13.81,2.23
Gaziantep,44.91,9.72,20.35,5.41,9.13
Giresun,43.13,15.61,20.66,12.71,0.56
Gumushane,47.78,26.44,0,18.31,0.63
Hakkari,20.63,2.99,7.25,0,62.45
Hatay,33.91,12.2,28.39,8.02,3.25
Igdir,35.25,4.76,6.58,6.58,43.55
Isparta,32.7,20.39,22.26,16.33,1
istanbul,36.06,6.24,28.33,8.07,8.19
izmir,25.26,5.37,40.9,11.39,7.54
Kahramanmaras,47.72,16.17,16.3,7.05,1.45
Karabuk,37.67,15.95,21.96,9.65,0.72
Karaman,40.98,18.06,19.3,10.85,0.8
Kars,25.81,9.74,16.51,14.89,27.9
Kastamonu,45.49,15.03,21.78,7.62,0.54
Kayseri,40.72,19.01,17.25,9.98,1.14
Kirikkale,35.67,21.23,26.61,10.1,0.62
Kirklareli,25.27,4.87,45.44,15.22,1.98
Kirsehir,38.84,14.85,29.2,7.21,2.73
Kilis,39.68,26.76,20.2,5.75,1.16
Kocaeli,39.7,8.43,23.97,9.5,5.82
Konya,47.95,14.31,13.68,8.66,2.81
Kutahya,46.64,13.02,16.81,10.48,0.59
Malatya,45.19,12.92,21.6,3.93,3.22
Manisa,31.79,14.12,29.46,11.06,5.79
Mardin,25.2,3.49,7.15,1.2,54.63
Mersin,24.96,11.99,30.89,11.84,13.23
Mugla,24.5,6.26,37.59,17.04,3.55
Mus,21.51,16.6,0,5.54,50.57
Nevsehir,39.46,20.27,17.5,15.72,0.81
Nigde,33.88,22.36,24.14,12.16,0.77
Ordu,45.25,12.73,24.22,9.78,0.52
Osmaniye,33.19,28.45,17.33,12.56,2.27
Rize,53.4,12.98,21.46,0,0.63
Sakarya,47.33,12.02,16.39,10.92,1.74
Samsun,42.45,14.24,19.76,12.06,0.6
Siirt,35.98,3.9,7.76,1.5,46.68
Sinop,42.75,9.15,25.7,9.41,0.66
Sivas,40.63,18.02,16.37,7.25,0.75
sanliurfa,43.01,9.44,8.05,4.57,24.85
sirnak,21.45,2.46,8.7,1.16,62.67
Tekirdag,30.73,6.45,36.25,11.17,6.2
Tokat,37.4,22.07,20.69,11.04,0.63
Trabzon,47.77,10.84,18.02,12.09,0.63
Tunceli,13.22,5.6,32,2.26,42.79
Usak,36.04,9.36,29.05,17.39,1.59
Van,26.15,5.12,8.73,0,52.92
Yalova,34.25,11.37,28.74,9.52,5.77
Yozgat,43.9,23.2,0,22.91,0.67
Zonguldak,40.02,8.44,32.07,9.96,0.66
